session_id,packet_size_bytes,protocol_type,source_port_range,flags_present,duration_ms,packet_count,traffic_category
57,1400,UDP,Well-Known,ACK,54,5,C1
58,40,TCP,Dynamic,SYN,131,291,C3
59,415,TCP,Dynamic,ACK,1363,168,C1
60,1401,TCP,Dynamic,NONE,367,39,C1
61,1500,TCP,Dynamic,SYN,120,564,C3
62,84,ICMP,Dynamic,FIN,46,7,C2
63,64,TCP,Dynamic,FIN,36,2,C2
64,40,UDP,Dynamic,FIN,191,417,C3
65,825,TCP,Registered,ACK,782,78,C1
66,661,TCP,Registered,ACK,471,89,C1
67,2048,TCP,Dynamic,SYN,40,120,C3
68,989,TCP,Registered,ACK,2174,35,C1
69,2048,UDP,Dynamic,SYN,277,679,C3
70,1500,TCP,Dynamic,ACK,239,276,C3
71,74,ICMP,Dynamic,NONE,1,3,C2
72,1014,TCP,Registered,ACK,52,76,C1
73,498,UDP,Well-Known,ACK,902,51,C1
74,642,UDP,Well-Known,ACK,1436,56,C1
75,40,UDP,Dynamic,SYN,218,325,C3
76,40,TCP,Dynamic,SYN,460,253,C3
77,40,TCP,Dynamic,SYN,226,275,C3
78,2048,TCP,Registered,SYN,182,456,C3
79,40,TCP,Dynamic,FIN,364,523,C3
80,84,ICMP,Registered,FIN,33,8,C2
81,84,ICMP,Dynamic,SYN,24,3,C2
82,1500,TCP,Registered,SYN,7,198,C3
83,336,TCP,Registered,ACK,1171,58,C1
84,1388,TCP,Registered,ACK,596,12,C1
85,1101,TCP,Well-Known,ACK,39,7,C1
86,1116,TCP,Dynamic,NONE,750,52,C1
87,932,UDP,Well-Known,ACK,523,1,C1
88,84,ICMP,Dynamic,SYN,91,2,C2
89,1111,TCP,Well-Known,ACK,55,6,C1
90,1500,TCP,Dynamic,SYN,548,335,C3
91,1317,TCP,Registered,ACK,933,79,C1
92,472,TCP,Dynamic,SYN,266,101,C1
93,1489,TCP,Dynamic,NONE,982,67,C1
94,74,ICMP,Dynamic,SYN,60,1,C2
95,320,UDP,Registered,ACK,952,1,C1
96,84,ICMP,Registered,FIN,71,1,C2
97,1021,TCP,Well-Known,ACK,968,64,C1
98,74,TCP,Dynamic,SYN,1,1,C2
99,782,TCP,Well-Known,ACK,249,130,C1
100,554,TCP,Registered,NONE,863,37,C1
101,2048,TCP,Dynamic,SYN,64,292,C3
102,453,TCP,Dynamic,ACK,858,142,C1
103,611,TCP,Well-Known,ACK,1170,1,C1
104,40,UDP,Dynamic,SYN,292,181,C3
105,1355,TCP,Registered,ACK,1050,110,C1
106,64,ICMP,Registered,NONE,37,3,C2
107,856,TCP,Well-Known,ACK,149,56,C1
108,515,TCP,Registered,ACK,829,85,C1
109,84,TCP,Registered,SYN,18,1,C2
110,1500,TCP,Dynamic,SYN,233,1,C3
111,1304,TCP,Registered,ACK,1642,140,C1
112,999,TCP,Well-Known,SYN,12,5,C1
113,1402,TCP,Dynamic,NONE,143,65,C1
114,1028,UDP,Registered,ACK,57,103,C1
115,311,TCP,Well-Known,ACK,1586,50,C1
116,1060,TCP,Dynamic,NONE,1210,81,C1
117,1500,UDP,Dynamic,SYN,220,424,C3
118,649,TCP,Well-Known,ACK,819,140,C1
119,855,TCP,Well-Known,NONE,17,5,C1
120,84,TCP,Registered,SYN,39,1,C2
121,40,UDP,Dynamic,SYN,284,54,C3
122,1323,TCP,Well-Known,ACK,54,6,C1
123,551,TCP,Well-Known,ACK,1173,61,C1
124,40,TCP,Dynamic,SYN,188,495,C3
125,74,TCP,Dynamic,NONE,34,6,C2
126,74,ICMP,Dynamic,NONE,37,4,C2
127,84,ICMP,Well-Known,NONE,6,4,C2
128,74,ICMP,Dynamic,SYN,58,3,C2
129,2048,TCP,Dynamic,SYN,261,369,C3
130,1195,TCP,Registered,NONE,1543,6,C1
131,1500,TCP,Dynamic,SYN,237,367,C3
132,519,TCP,Well-Known,NONE,1243,55,C1
133,1012,UDP,Well-Known,ACK,53,7,C1
134,796,TCP,Well-Known,ACK,1266,98,C1
135,64,ICMP,Well-Known,SYN,17,5,C2
136,483,UDP,Well-Known,ACK,785,86,C1
137,74,TCP,Registered,NONE,20,6,C2
138,1500,TCP,Dynamic,SYN,95,355,C3
139,1500,TCP,Registered,SYN,264,401,C3
140,64,ICMP,Well-Known,NONE,1,4,C2
141,895,TCP,Dynamic,ACK,1067,52,C1
142,1500,TCP,Dynamic,SYN,227,478,C3
143,526,UDP,Registered,ACK,460,98,C1
144,84,ICMP,Dynamic,NONE,37,2,C2
145,468,TCP,Registered,ACK,454,56,C1
146,40,TCP,Dynamic,ACK,142,114,C3
147,64,UDP,Dynamic,SYN,32,1,C2
148,1250,TCP,Well-Known,SYN,647,3,C1
149,64,ICMP,Dynamic,SYN,3,6,C2
150,1500,TCP,Dynamic,SYN,318,287,C3
